lon,lat,square,cost,category,street,ward,district,city,date_created,date_modified,url
10.74309,106.64764,25,Secret,mat-bang-ban-mat-bang-ban-le-3539,1472 Võ Văn Kiệt ,Phường 03,Quận 6,TP.Hồ Chí Minh,12.10.2017,06.06.2017,http://www.muabannhadat.vn/mat-bang-ban-mat-bang-ban-le-3539/shophouse-vo-van-kiet-chi-1-3-ty-lo-cam-ket-10-ln-5666571
0.0,0.0,57,Secret,can-ho-ban-chung-cu-3529,1 Tạ Quang Bửu ,Phường 06,Quận 8,TP.Hồ Chí Minh,04.10.2017,11.10.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-cao-cap-tara-residence-6260310
10.84800,106.74560,79,650,can-ho-ban-chung-cu-cao-cap-3530, ,Phường Linh Ðông,Quận Thủ Đức,TP.Hồ Chí Minh,06.10.2017,06.10.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/4s-linh-dong-chung-cu-phong-cach-singapore-nhac-ma-6275278
10.75029,106.65031,98,Secret,mat-bang-ban-mat-bang-ban-le-3539, ,Phường 02,Quận 6,TP.Hồ Chí Minh,12.10.2017,05.07.2017,http://www.muabannhadat.vn/mat-bang-ban-mat-bang-ban-le-3539/ban-gap-shophouse-mat-tien-8m4-duong-ngo-nhan-tinh-5891633
10.80111,106.65080,70,Secret,can-ho-ban-chung-cu-cao-cap-3530,141 Cộng Hòa ,Phường 12,Quận Tân Bình,TP.Hồ Chí Minh,19.10.2017,19.10.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/gap-gap-ban-can-ho-cong-hoa-plaza-2pn-70m2-lau-cao-6327141
10.78938,106.65014,4,770,mat-bang-ban-mat-bang-ban-le-3539, ,Phường 11,Quận Tân Bình,TP.Hồ Chí Minh,12.10.2017,,http://www.muabannhadat.vn/mat-bang-ban-mat-bang-ban-le-3539/mo-ban-58-sap-kiosk-cuoi-cung-tang-tret-lung-thuon-6115105
21.02804,105.77163,66,Secret,can-ho-ban-chung-cu-3529, ,Phường Mỹ Đình 2,Quận Nam Từ Liêm,TP.Hà Nội,11.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/garden-hill-tran-binh-1-7-ty-can-ck-den-250tr-vay-6288868
10.79433,106.63974,60,Secret,can-ho-ban-chung-cu-cao-cap-3530, ,Phường 14,Quận Tân Bình,TP.Hồ Chí Minh,22.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/centa-garden-du-an-can-ho-cao-cap-4-mat-tien-duong-6329328
10.80801,106.73241,58,Secret,can-ho-ban-chung-cu-3529,Xa lộ Hà Nội Quận 2 ,Phường Thảo Ðiền,Quận 2,TP.Hồ Chí Minh,11.10.2017,11.10.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-ngay-tram-so-7-ga-metro-q2-sinh-loi-hon-100-6224902
10.84800,106.74560,70,650,can-ho-ban-chung-cu-3529, ,Phường Linh Ðông,Quận Thủ Đức,TP.Hồ Chí Minh,17.10.2017,17.10.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/mo-ban-can-ho-cao-cap-4s-linh-dong-thu-duc-gia-chi-6317029
10.73988,106.64325,17,Secret,mat-bang-ban-khac-3598,1472 Võ Văn Kiệt ,Phường 03,Quận 6,TP.Hồ Chí Minh,11.10.2017,,http://www.muabannhadat.vn/mat-bang-ban-khac-3598/tu-1-7-ty-can-shophouse-mat-tien-vo-van-kiet-da-vi-6288734
10.75029,106.65031,70,Secret,can-ho-ban-chung-cu-3529, ,Phường 02,Quận 6,TP.Hồ Chí Minh,17.10.2017,07.05.2016,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/lucky-palace-mua-nhan-nha-hoan-thien-1-ty-8-4598007
10.80199,106.64752,70,Secret,can-ho-ban-chung-cu-3529,Cộng Hòa Tân Bình ,Phường 03,Quận Tân Bình,TP.Hồ Chí Minh,17.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-can-ho-19-cong-hoa-70m2-2pn-noi-that-gia-2-9-t-6314515
10.78082,106.65885,125,Secret,mat-bang-ban-mat-bang-ban-le-3539,Bắc Hải  ,Phường 06,Quận Tân Bình,TP.Hồ Chí Minh,12.10.2017,12.01.2017,http://www.muabannhadat.vn/mat-bang-ban-mat-bang-ban-le-3539/can-sang-showroom-ao-dai-va-phim-truong-5383330
10.79433,106.63974,65,Secret,can-ho-ban-chung-cu-3529,678 ,Phường 14,Quận Tân Bình,TP.Hồ Chí Minh,12.10.2017,12.10.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/du-an-dep-nhat-4-mat-tien-duong-ngay-tt-tan-binh-t-6298466
10.79433,106.63974,50,Secret,can-ho-ban-chung-cu-3529, ,Phường 14,Quận Tân Bình,TP.Hồ Chí Minh,17.10.2017,17.10.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/centa-park-4-mat-tien-khu-bau-cat-tan-binh-1-5-ty-6316226
10.78660,106.64146,54,Secret,can-ho-ban-chung-cu-3529,678 Âu Cơ ,Phường 12,Quận Tân Bình,TP.Hồ Chí Minh,11.10.2017,11.10.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/nha-tot-gia-hoi-an-cu-dau-tu-deu-sinh-loi-vi-tri-d-6294047
10.84800,106.74560,70,650,can-ho-ban-chung-cu-3529,Đường số 30 Linh Đông ,Phường Linh Ðông,Quận Thủ Đức,TP.Hồ Chí Minh,21.10.2017,21.10.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/con-lai-10-can-goc-4s-linh-dong-view-tuyet-dep-ck-6276204
10.70220,106.73167,6,150,mat-bang-ban-mat-bang-ban-le-3539,Nguyễn Lương Bằng Hồ Chí Minh ,Phường Phú Mỹ,Quận 7,TP.Hồ Chí Minh,12.10.2017,,http://www.muabannhadat.vn/mat-bang-ban-mat-bang-ban-le-3539/ban-shop-lo-thuong-mai-du-an-saigon-south-plaza-ph-5820240
10.70228,106.73154,6,150,mat-bang-ban-mat-bang-ban-le-3539,Nguyễn Lương Bằng Hồ Chí Minh ,Phường Phú Mỹ,Quận 7,TP.Hồ Chí Minh,12.10.2017,,http://www.muabannhadat.vn/mat-bang-ban-mat-bang-ban-le-3539/ban-shophouse-va-kiot-du-an-saigon-south-plaza-phu-5820280
10.80121,106.65062,72,11000.0,can-ho-cho-thue-chung-cu-3550,19 Cộng Hòa ,Phường 12,Quận Tân Bình,TP.Hồ Chí Minh,17.10.2017,,http://www.muabannhadat.vn/can-ho-cho-thue-chung-cu-3550/cho-thue-chung-cu-duong-cong-hoa-2pn-noi-that-co-b-6224052
10.80612,106.66277,150,Secret,mat-bang-ban-mat-bang-ban-le-3539,10 PHỔ QUANG ,Phường 02,Quận Tân Bình,TP.Hồ Chí Minh,12.10.2017,,http://www.muabannhadat.vn/mat-bang-ban-mat-bang-ban-le-3539/mo-ban-shophouse-khu-can-ho-skycenter-ngay-san-bay-3990221
10.78723,106.64226,54,Secret,can-ho-ban-chung-cu-cao-cap-3530,Đồng Đen Tân Bình ,Phường 02,Quận Tân Bình,TP.Hồ Chí Minh,21.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/can-ho-o-suong-view-cuc-dep-4-mat-tien-duong-dang-6332692
10.79175,106.64394,60,Secret,can-ho-ban-chung-cu-cao-cap-3530,Bàu Cát Tân Bình ,Phường 05,Quận Tân Bình,TP.Hồ Chí Minh,19.10.2017,,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/can-ho-dang-gay-bao-so-huu-4-mat-tien-quan-tan-bin-6323736
10.75471,106.60962,59,750,can-ho-ban-chung-cu-3529,472 Tên Lửa ,Phường Bình Trị Đông B,Quận Bình Tân,TP.Hồ Chí Minh,11.10.2017,11.10.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/soc-tecco-ten-lua-750-trieu-2-phong-ngu-2wc-tra-tr-6280136
0.0,0.0,103,Secret,can-ho-ban-chung-cu-3529,Khu Ngoại Giao Đoàn ,Phường Xuân Đỉnh,Quận Bắc Từ Liêm,TP.Hà Nội,21.10.2017,21.10.2017,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-hoac-cho-thue-cc-ngoai-giao-doan-103m2-3pn-2wc-6335444
